feor,occupation_description,hs6,machine_description
8293,"Agricultural machine operators, mechanics",843359,Harvesting machinery nes
8293,"Agricultural machine operators, mechanics",843360,"Machines for cleaning, sorting, grading eggs/fruit/etc"
8293,"Agricultural machine operators, mechanics",843410,Milking machines
8293,"Agricultural machine operators, mechanics",843610,Machinery for preparing animal feeding stuffs
8293,"Agricultural machine operators, mechanics",843621,Poultry incubators and brooders
8293,"Agricultural machine operators, mechanics",843629,"Poultry-keeping machinery, nes"
8293,"Agricultural machine operators, mechanics",843680,"Agricultural, bee-keeping plant nes, germination plant"
8299,Other non manufacturing machine operators not elsewhere classified,841410,Vacuum pumps
8299,Other non manufacturing machine operators not elsewhere classified,841440,Air compressors mounted on wheeled chassis for towing
8299,Other non manufacturing machine operators not elsewhere classified,842489,Sprays/powder dispersing machines except agricultural
8311,Agricultural engine drivers and operators,843210,Ploughs
8311,Agricultural engine drivers and operators,843221,Disc harrows
8311,Agricultural engine drivers and operators,843229,"Scarifiers, cultivators, weeders and hoes"
8311,Agricultural engine drivers and operators,843230,"Seeders, planters and transplanters"
8311,Agricultural engine drivers and operators,843280,"Rollers, soil preparation, cultivation machinery, nes"
8311,Agricultural engine drivers and operators,843330,Hay tedders and rakes and other haymaking machinery
8311,Agricultural engine drivers and operators,843340,"Straw or fodder balers, including pick-up balers"
8311,Agricultural engine drivers and operators,843351,Combine harvester-threshers
8311,Agricultural engine drivers and operators,843353,Root or tuber harvesting machines
8311,Agricultural engine drivers and operators,843359,Harvesting machinery nes
8311,Agricultural engine drivers and operators,871620,Trailers for agricultural purposes
8312,Forestry plant operators,842481,Agricultural sprays and powder dispersers
8312,Forestry plant operators,843230,"Seeders, planters and transplanters"
8312,Forestry plant operators,843240,Manure spreaders and fertilizer distributors
8312,Forestry plant operators,846781,Chain saws
8312,Forestry plant operators,871620,Trailers for agricultural purposes
8313,Plant protection machine operators,842481,Agricultural sprays and powder dispersers
8319,"Agricultural and forestry mobile-plant drivers, operators not elsewhere classified",843280,"Rollers, soil preparation, cultivation machinery, nes"
8319,"Agricultural and forestry mobile-plant drivers, operators not elsewhere classified",843352,Threshing machinery nes
8321,Earth moving equipment operators,842710,"Self-propelled works trucks, electric motor"
8321,Earth moving equipment operators,842720,"Self-propelled works trucks, non-electric"
8321,Earth moving equipment operators,842911,"Bulldozers and angledozers, crawler type"
8321,Earth moving equipment operators,842919,"Bulldozers and angledozers, wheeled"
8321,Earth moving equipment operators,842920,"Graders and levellers, self-propelled"
8321,Earth moving equipment operators,842930,"Scrapers, self-propelled"
8321,Earth moving equipment operators,842951,Front end shovel loaders
8321,Earth moving equipment operators,842952,Shovels and excavators with revolving superstructure
8321,Earth moving equipment operators,842959,"Earth moving/road making equipment, self-propelled nes"
8321,Earth moving equipment operators,870911,"Work trucks, electrically powered"
8322,Groundwork machine operators,843010,Pile-drivers and pile-extractors
8322,Groundwork machine operators,843041,"Boring or sinking machinery nes, self-propelled"
8322,Groundwork machine operators,843049,"Boring or sinking machinery nes, not self-propelled"
8322,Groundwork machine operators,843069,"Construction equipment, not self-propelled nes"
8323,"Road, bridge and railroad building machine operators",842619,Transporter or bridge cranes
8323,"Road, bridge and railroad building machine operators",842920,"Graders and levellers, self-propelled"
8323,"Road, bridge and railroad building machine operators",842940,"Tamping machines and road rollers, self- propelled"
8323,"Road, bridge and railroad building machine operators",842951,Front end shovel loaders
8323,"Road, bridge and railroad building machine operators",842959,"Earth moving/road making equipment, self-propelled nes"
8323,"Road, bridge and railroad building machine operators",843010,Pile-drivers and pile-extractors
8323,"Road, bridge and railroad building machine operators",843041,"Boring or sinking machinery nes, self-propelled"
8323,"Road, bridge and railroad building machine operators",843049,"Boring or sinking machinery nes, not self-propelled"
8323,"Road, bridge and railroad building machine operators",843050,"Construction equipment, self-propelled nes"
8323,"Road, bridge and railroad building machine operators",843061,"Tamping or compacting machinery, not self-propelled"
8323,"Road, bridge and railroad building machine operators",843069,"Construction equipment, not self-propelled nes"
8323,"Road, bridge and railroad building machine operators",847910,"Machines for public works, building etc, nes"
8324,Hydromechanical and floating plant operators,841319,"Pumps fitted, designed to have, a measuring device nes"
8324,Hydromechanical and floating plant operators,841350,Reciprocating positive displacement pumps nes
8324,Hydromechanical and floating plant operators,841360,Rotary positive displacement pumps nes
8324,Hydromechanical and floating plant operators,841370,Centrifugal pumps nes
8324,Hydromechanical and floating plant operators,841381,Pumps nes
8324,Hydromechanical and floating plant operators,842959,"Earth moving/road making equipment, self-propelled nes"
8324,Hydromechanical and floating plant operators,890520,"Floating, submersible drilling or production platforms"
8325,Well drilling machine operators,843041,"Boring or sinking machinery nes, self-propelled"
8325,Well drilling machine operators,843049,"Boring or sinking machinery nes, not self-propelled"
8329,Construction machine operators not elsewhere classified,843050,"Construction equipment, self-propelled nes"
8329,Construction machine operators not elsewhere classified,843069,"Construction equipment, not self-propelled nes"
8341,Crane operators,842611,Gantry and overhead travelling cranes on fixed support
8341,Crane operators,842619,Transporter or bridge cranes
8341,Crane operators,842620,Tower cranes
8341,Crane operators,842630,Portal or pedestal jib cranes
8341,Crane operators,842641,"Cranes & lifting frames, self-propelled, on tyres"
8341,Crane operators,842649,"Cranes & lifting frames, self-propelled, not on tyres"
8341,Crane operators,842691,Cranes designed for mounting on road vehicles
8341,Crane operators,842699,Cranes or derricks nes
8341,Crane operators,870510,Mobile cranes
8342,Elevator and conveying machine operators,841382,Liquid elevators
8342,Elevator and conveying machine operators,842612,"Mobile lifting frames on tyres, straddle carriers"
8342,Elevator and conveying machine operators,842810,Lifts and skip hoists
8342,Elevator and conveying machine operators,842820,Pneumatic elevators and conveyors
8342,Elevator and conveying machine operators,842831,"Mine conveyors/elevators, continuous action"
8342,Elevator and conveying machine operators,842832,Continuous action goods conveyor or elevator (bucket)
8342,Elevator and conveying machine operators,842833,Continuous action goods conveyor or elevator belt type
8342,Elevator and conveying machine operators,842839,Continuous action elevators or conveyors for goods nes
8342,Elevator and conveying machine operators,842840,Escalators and moving walkways
8342,Elevator and conveying machine operators,842860,"Teleferiques, chair-lifts, ski-lifts, etc"
8342,Elevator and conveying machine operators,842890,"Lifting, handling, loading or unloading machinery nes"
8343,Lift trolley operators,842710,"Self-propelled works trucks, electric motor"
8343,Lift trolley operators,842720,"Self-propelled works trucks, non-electric"
8343,Lift trolley operators,842790,"Trucks with lifting/handling equipment, non-powered"
8343,Lift trolley operators,870911,"Work trucks, electrically powered"
8344,Loading/unloading machine operators,842790,"Trucks with lifting/handling equipment, non-powered"
8344,Loading/unloading machine operators,842890,"Lifting, handling, loading or unloading machinery nes"
8344,Loading/unloading machine operators,850530,Electro-magnetic lifting heads
8349,Material conveying machine operators not elsewhere classified,842541,Built-in jacking systems for garages
8349,Material conveying machine operators not elsewhere classified,842890,"Lifting, handling, loading or unloading machinery nes"
